Year,Sales
2240,2000
2315,3000
2248,4000
2026,5000
2141,6000
1906,7000
2326,8000
2352,9000
2198,10000
2247,11000
1947,12000
2208,13000
2029,14000
2346,15000
2133,16000
2328,17000
2084,18000
1905,19000
2048,20000
2023,21000
2398,22000
2165,23000
1956,24000
1934,25000
2309,26000
1998,27000
1949,28000
2217,29000
2176,30000
2001,31000
2282,32000
1955,33000
2281,34000
1981,35000
2397,36000
2315,37000
2347,38000
2280,39000
2337,40000
2114,41000
2198,42000
2196,43000
2040,44000
